"Ano Mes.Ano Mes";SOJA/EM GRÃOS/AP/Preco Medio Comercializado;SOJA/EM GRÃOS/BA/Preco Medio Comercializado;SOJA/EM GRÃOS/DF/Preco Medio Comercializado;SOJA/EM GRÃOS/GO/Preco Medio Comercializado;SOJA/EM GRÃOS/MA/Preco Medio Comercializado;SOJA/EM GRÃOS/MG/Preco Medio Comercializado;SOJA/EM GRÃOS/MS/Preco Medio Comercializado;SOJA/EM GRÃOS/MT/Preco Medio Comercializado;SOJA/EM GRÃOS/PA/Preco Medio Comercializado;SOJA/EM GRÃOS/PI/Preco Medio Comercializado;SOJA/EM GRÃOS/PR/Preco Medio Comercializado;SOJA/EM GRÃOS/RO/Preco Medio Comercializado;SOJA/EM GRÃOS/RR/Preco Medio Comercializado;SOJA/EM GRÃOS/RS/Preco Medio Comercializado;SOJA/EM GRÃOS/SC/Preco Medio Comercializado;SOJA/EM GRÃOS/SP/Preco Medio Comercializado;SOJA/EM GRÃOS/TO/Preco Medio Comercializado
"FEV-2021";;141.71;154.0;151.98;152.62;161.85;150.71;150.61;157.75;162.5;154.66;145.5;;156.22;155.9;157.17;150.15
"MAR-2021";;149.86;160.39;157.43;158.09;162.42;152.68;156.05;163.48;161.02;158.24;146.17;;161.07;160.57;159.02;156.89
"ABR-2021";;145.7;160.05;161.72;160.75;163.72;161.01;160.8;168.41;162.57;161.11;138.75;;166.67;163.94;161.81;160.49
"MAI-2021";;152.59;170.03;163.65;163.54;172.28;161.83;164.02;173.5;163.3;161.26;152.45;;164.55;163.88;166.68;161.33
"JUN-2021";;143.32;159.77;151.58;154.74;159.23;149.31;147.35;158.5;141.2;146.74;139.29;;150.85;151.98;152.39;155.56
"JUL-2021";;145.96;159.55;150.77;152.07;155.5;154.61;154.56;156.14;150.82;151.48;136.7;;152.57;154.45;150.66;152.04
"AGO-2021";;154.38;166.25;158.91;159.77;168.1;157.07;165.07;155.0;151.13;157.18;136.91;;157.37;159.15;160.6;157.94
"SET-2021";;156.99;165.68;157.1;160.19;171.17;158.4;163.57;162.95;153.23;158.64;139.86;150.0;158.41;160.41;159.65;157.79
"OUT-2021";;157.7;166.1;156.1;160.98;166.35;158.21;158.68;164.0;145.38;160.1;144.1;152.38;159.9;161.66;162.36;157.13
"NOV-2021";;154.69;159.5;150.99;154.01;164.52;151.86;150.22;162.5;150.65;154.83;140.75;149.23;157.76;157.24;156.94;151.06
"DEZ-2021";;153.59;152.78;151.22;155.34;154.54;157.1;151.08;164.78;151.7;158.69;133.26;145.41;163.09;161.09;158.4;156.63
"JAN-2022";;162.02;165.08;160.17;163.89;166.86;164.36;162.5;169.78;158.0;167.35;156.25;154.5;175.23;169.99;164.94;161.71
"FEV-2022";;171.8;178.95;177.65;175.72;182.94;181.78;173.63;183.42;173.26;186.71;163.42;;191.71;187.75;178.73;172.54
"MAR-2022";;175.8;187.39;180.08;183.41;187.27;185.51;179.39;196.74;177.4;192.69;175.35;;198.54;196.07;192.33;176.33
"ABR-2022";;165.13;170.95;163.67;169.94;168.1;173.0;164.0;181.19;167.37;173.92;166.52;;181.03;178.27;180.39;170.55
"MAI-2022";;167.3;176.75;169.1;177.18;176.57;177.46;169.89;183.25;173.22;179.34;160.25;;184.13;183.95;179.82;173.59
"JUN-2022";;166.69;177.51;168.28;176.4;177.65;176.65;167.46;180.0;178.22;176.87;153.0;;181.75;181.1;178.95;172.49
"JUL-2022";;160.3;170.32;160.6;173.11;176.15;169.86;163.53;178.67;172.85;173.14;145.5;;176.69;176.44;172.96;169.89
"AGO-2022";;161.38;169.57;161.39;169.93;173.37;170.65;162.13;173.63;163.55;168.74;144.57;;174.09;172.73;168.97;166.59
"SET-2022";;162.19;169.09;162.99;172.19;174.64;171.61;160.77;174.73;163.49;168.08;147.5;170.0;171.27;173.21;169.46;164.54
"OUT-2022";;162.02;170.0;161.01;165.98;167.85;169.36;162.0;174.23;161.38;167.78;139.0;159.75;170.74;172.72;166.61;161.31
"NOV-2022";;165.86;162.73;164.17;170.67;169.93;172.95;164.98;174.6;160.36;170.32;141.83;163.61;172.58;174.66;171.93;167.05
"DEZ-2022";;165.65;163.36;158.5;171.32;167.63;167.99;161.03;169.71;161.01;166.86;145.77;154.84;171.53;171.05;170.63;162.76
"JAN-2023";;161.9;161.98;157.3;168.92;167.07;160.0;155.21;169.59;162.13;163.39;150.5;;170.0;170.05;167.57;161.44
"FEV-2023";;152.82;157.83;151.78;155.01;158.48;154.59;146.51;166.8;158.09;159.34;150.0;;165.12;163.86;162.39;153.01
"MAR-2023";;145.09;150.17;138.87;151.13;148.2;142.37;139.58;159.13;146.31;149.13;139.57;;156.43;154.24;152.77;146.3
"ABR-2023";;130.25;135.5;122.88;134.94;129.05;126.48;123.52;141.22;128.75;132.6;123.25;;140.12;138.02;134.69;127.78
"MAI-2023";;117.69;121.91;113.58;120.14;114.86;118.24;112.02;125.61;117.84;124.92;112.87;;125.22;128.1;124.04;116.22
"JUN-2023";;114.75;114.82;111.38;119.52;115.57;115.46;107.92;118.23;115.77;120.46;110.18;;124.76;123.08;119.6;114.14
"JUL-2023";;121.23;121.0;116.67;123.5;124.96;122.79;113.68;118.0;122.06;128.46;111.0;;135.3;129.67;126.88;114.53
"AGO-2023";;126.63;127.17;119.55;126.41;126.41;125.65;117.97;126.02;129.42;130.96;109.52;;138.66;132.8;132.92;120.01
"SET-2023";;123.82;128.33;120.81;126.32;130.6;127.21;119.69;128.79;128.4;127.78;109.45;;138.41;131.06;131.01;122.85
"OUT-2023";;123.7;126.5;118.65;124.78;128.42;123.84;118.05;132.75;128.0;125.11;106.67;;133.54;127.96;129.02;122.57
"NOV-2023";;127.65;125.0;120.43;126.45;131.26;126.32;121.69;136.73;130.57;128.69;110.0;;138.21;131.5;130.83;123.12
"DEZ-2023";;127.01;125.43;122.83;129.03;136.53;126.55;122.84;140.51;134.29;127.13;109.98;;135.67;129.6;129.7;124.77
"JAN-2024";;111.75;115.89;109.09;122.58;127.59;112.21;109.09;122.14;129.59;110.56;101.3;;120.85;116.98;119.24;
"FEV-2024";;102.55;101.52;99.91;106.22;101.87;100.13;97.98;110.13;110.33;104.7;94.42;;109.89;107.94;105.86;
"MAR-2024";;104.92;105.0;105.88;104.28;108.15;107.95;104.32;111.57;107.86;106.38;101.97;;110.63;109.66;106.82;
"ABR-2024";;110.3;110.5;110.89;110.28;117.1;112.44;109.06;112.0;110.13;112.34;103.5;;118.53;114.46;112.19;
"MAI-2024";126.0;115.12;116.48;116.6;116.19;121.97;121.06;114.96;113.48;117.61;119.3;111.94;;118.96;122.48;120.22;114.0
"JUN-2024";125.5;118.42;120.0;117.52;120.11;127.35;123.52;120.47;115.25;119.0;122.13;121.63;;120.44;125.1;126.75;115.0
"JUL-2024";115.17;118.42;120.61;117.85;120.64;122.74;124.05;120.98;118.47;120.17;121.73;135.17;;120.8;124.15;126.67;116.91
"AGO-2024";115.33;115.15;119.14;117.79;116.9;125.1;122.96;119.17;123.03;118.0;119.14;105.96;;116.35;123.63;121.79;120.74
"SET-2024";115.0;122.57;125.38;124.28;118.92;131.93;130.2;125.73;127.5;124.88;124.91;110.38;;121.1;128.64;125.48;119.14
"OUT-2024";120.0;128.25;129.52;126.37;122.07;139.73;138.09;131.89;121.35;127.83;130.47;113.76;;123.31;131.99;130.84;118.15
"NOV-2024";;130.43;132.19;128.8;126.42;143.02;138.75;140.98;123.26;130.92;132.61;113.8;;126.82;134.75;135.03;118.21
"DEZ-2024";;128.07;133.25;127.18;126.81;144.47;131.44;133.21;128.0;130.0;128.94;117.0;;126.37;132.85;132.89;120.5
"JAN-2025";;126.71;119.7;116.92;123.27;130.54;119.19;116.25;130.0;124.71;119.83;115.73;;126.47;125.66;127.8;
"FEV-2025";144.0;113.16;116.0;112.98;114.2;119.47;116.51;108.08;119.01;117.47;120.35;106.61;;124.25;124.1;124.21;110.0
"MAR-2025";120.0;112.15;113.75;111.55;113.38;115.96;116.46;109.58;116.59;113.84;119.64;105.56;;127.05;123.96;121.08;109.5
"ABR-2025";120.0;115.1;114.64;113.91;117.34;117.58;118.49;111.43;117.46;113.65;119.57;107.17;;125.04;124.48;121.1;109.41
"MAI-2025";120.0;114.46;113.5;113.46;114.74;117.44;117.81;110.02;117.69;115.0;116.98;107.8;;119.48;121.35;120.47;112.64
"JUN-2025";;116.51;118.75;113.74;117.88;121.23;118.09;110.44;115.0;114.62;117.5;102.4;;120.09;121.89;121.57;112.88
"JUL-2025";120.0;116.39;121.13;114.85;118.41;123.31;121.09;113.73;117.0;118.01;117.39;105.03;;120.16;121.27;120.04;116.07
"AGO-2025";120.0;120.9;125.9;118.55;123.67;127.67;124.88;120.2;121.17;124.1;119.11;112.79;;123.73;123.62;123.42;120.95
