data;paridade_compra_salario
01/11/2013;371,7418646
01/12/2013;369,0522804
01/01/2014;393,0816262
01/02/2014;392,0259634
01/03/2014;391,3414253
01/04/2014;389,5930775
01/05/2014;388,622329
01/06/2014;388,3358651
01/07/2014;387,6804829
01/08/2014;386,337072
01/09/2014;384,7431609
01/10/2014;382,3238437
01/11/2014;378,2545842
01/12/2014;373,7923286
01/01/2015;399,0154326
01/02/2015;396,1521313
01/03/2015;392,5826565
01/04/2015;390,6076778
01/05/2015;388,7495059
01/06/2015;387,1310677
01/07/2015;384,9241426
01/08/2015;383,4202552
01/09/2015;380,8809076
01/10/2015;377,8006627
01/11/2015;372,864285
01/12/2015;368,2756588
01/01/2016;405,8242234
01/02/2016;402,3364469
01/03/2016;402,2981168
01/04/2016;401,6355364
01/05/2016;399,3467488
01/06/2016;398,78407
01/07/2016;395,6068291
01/08/2016;394,7463762
01/09/2016;395,3794028
01/10/2016;395,2002991
01/11/2016;394,3096672
01/12/2016;393,8870851
01/01/2017;420,0801481
01/02/2017;420,39263
01/03/2017;419,3918494
01/04/2017;420,2994557
01/05/2017;419,1494261
01/06/2017;420,7916812
01/07/2017;419,7880395
01/08/2017;421,1713053
01/09/2017;423,4860092
01/10/2017;421,6580846
01/11/2017;420,9104878
01/12/2017;419,5719744
01/01/2018;428,5257456
01/02/2018;429,6953669
01/03/2018;430,3660913
01/04/2018;431,171464
01/05/2018;431,1112772
01/06/2018;425,7111388
01/07/2018;424,6782759
01/08/2018;424,9142027
01/09/2018;424,1352667
01/10/2018;423,1921831
01/11/2018;422,8314712
01/12/2018;420,8919009
01/01/2019;439,5609907
01/02/2019;439,0480318
01/03/2019;438,1507735
01/04/2019;437,8438811
01/05/2019;438,1190309
01/06/2019;438,1628213
01/07/2019;438,4568379
01/08/2019;437,9090674
01/09/2019;438,4715555
01/10/2019;439,2983672
01/11/2019;436,7044491
01/12/2019;431,0480922
01/01/2020;449,6436172
01/02/2020;452,7102147
01/03/2020;450,9128615
01/04/2020;448,9299728
01/05/2020;450,0641514
01/06/2020;451,1733333
01/07/2020;451,4686365
01/08/2020;451,2673644
01/09/2020;447,997907
01/10/2020;444,2305416
01/11/2020;439,7815023
01/12/2020;433,8615282
01/01/2021;457,4037337
01/02/2021;456,1671885
01/03/2021;455,4813257
01/04/2021;457,4861158
01/05/2021;456,7691888
01/06/2021;458,2632224
01/07/2021;455,8185696
01/08/2021;452,7754977
01/09/2021;448,6220587
01/10/2021;447,1619189
01/11/2021;445,6159728
01/12/2021;443,7456779
01/01/2022;489,7601589
01/02/2022;489,3402159
01/03/2022;487,5365624
01/04/2022;485,2118045
01/05/2022;488,3626953
01/06/2022;492,0201273
01/07/2022;494,9319604
01/08/2022;496,2949372
01/09/2022;498,9589957
01/10/2022;498,6393035
01/11/2022;496,2501328
01/12/2022;491,3360349
01/01/2023;529,6051891
01/02/2023;528,492496
01/03/2023;526,8701275
01/04/2023;526,7439409
01/05/2023;533,4503483
01/06/2023;535,7082687
01/07/2023;537,2138095
01/08/2023;538,4829662
01/09/2023;539,228276
01/10/2023;538,3756375
01/11/2023;536,7539652
01/12/2023;533,287856
01/01/2024;570,3133464
01/02/2024;569,2329761
01/03/2024;571,8258789
01/04/2024;571,9358716
01/05/2024;570,2627357
01/06/2024;569,0324596
01/07/2024;568,2159142
01/08/2024;569,4753729
01/09/2024;567,6639745
01/10/2024;564,8719227
01/11/2024;562,7090902
01/12/2024;560,2195964
01/01/2025;606,2183335
01/02/2025;600,0303592
01/03/2025;598,2898122
01/04/2025;597,3237917
01/05/2025;596,4833673
01/06/2025;597,1432272
01/07/2025;596,7917645
01/08/2025;599,7659495
